EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
DQ185230	Peltigera canina	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185231	free-living	Nodularia harveyana 	Huebel 1983/300	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185232	Leptogium gelatinosum	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185233	Lobaria amplissima	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185234	Lobaria hallii	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185235	Massalongia carnosa	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185236	Nephroma bellum	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185237	Nephroma helveticum	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185238	Pannaria conoplea	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185239	Peltigera canina	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185240	free-living	Nostoc sp.	PCC 6720	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185241	free-living	Nodularia spumigena 	PCC 73104	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185242	free-living	Nostoc sp.	PCC 7423	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185243	free-living	Nodularia sphaerocarpa 	PCC 7804	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
